comparison_id,target_id,package_status,verdict,matched_baselines,successful_baselines,fastest_baseline_trigger_time_s,fastest_baseline_family_median_trigger_time_s,best_formtrig_trigger_time_s,tte_speedup_over_fastest_baseline,main_claim_strength,max_budget_s,formtrig_terminal,strict_pretrigger_guidance,missing_required_baselines,observed_benefits,blocked_claims,next_steps,source_path
pdf003_validated_short_600s_3rep_20260617,PDF003,promote_or_extend_longruns,positive_endpoint_matched_comparison,9,,,,0.29,,hard_endpoint_gap_candidate,602.0,true,false,,"FORMTRIG reaches terminal success where matched baselines do not trigger in this budget,FORMTRIG terminal oracle success is observed,FORMTRIG first `_T` upper bound is recorded at 0.29s",no strict pre-trigger guidance benefit is established,promote to replicated long-run or cross-target confirmation if harness fidelity passes,artifacts/formtrig_native_readiness/comparisons/pdf003_validated_short_600s_3rep_20260617/comparison.json
php009_validated_short_600s_1rep_20260617,PHP009,needs_harder_experiment_design,positive_speedup_matched_comparison,3,"aflplusplus_cmplog,aflplusplus_vanilla,redqueen_operand",120.0,120.0,87.04,1.3786764705882353,not_hard_pain_baseline_fast_enough,600.0,true,true,,"FORMTRIG has a lower observed first-`_T` upper bound than every matched successful baseline run,FORMTRIG observed first-`_T` is 1.38x faster than the fastest matched successful baseline run,FORMTRIG terminal oracle success is observed,FORMTRIG first `_T` upper bound is recorded at 87.04s,fastest matched successful baseline-run first `_T` upper bound is 120s,fastest matched successful baseline-family median first `_T` upper bound is 120s,binary or sparse trigger feedback was lifted into accepted non-trigger search progress","a matched faithful baseline reaches the trigger within the acceptable-time threshold, so this is not hard SOTA-pain evidence","treat as speedup/control evidence, not hard SOTA-pain evidence,move main budget to targets where no faithful baseline triggers within the acceptable-time threshold,if retained, report only FORMTRIG TTE speedup and mechanism attribution",artifacts/formtrig_native_readiness/comparisons/php009_validated_short_600s_1rep_20260617/comparison.json
PNG006_formtrig_2h_vs_baseline_30m_gap_20260616,PNG006,incomparable_needs_matched_budget,not_comparable_missing_matched_budget,0,,,,,,,7200.0,true,true,,"FORMTRIG terminal oracle success is observed,binary or sparse trigger feedback was lifted into accepted non-trigger search progress","FORMTRIG first `_T`/TTE is not recorded for this run,no matched-budget baseline benefit comparison is available",run faithful baselines at FORMTRIG budget(s): [7200],artifacts/formtrig_native_readiness/comparisons/png006_formtrig_2h_vs_baseline_30m_gap_20260616/comparison.json
PNG006_formtrig_2h_vs_vanilla_2h_incomplete_20260616,PNG006,candidate_needs_required_baselines,incomplete_required_baseline_set,1,,,,,,,7200.0,true,true,"aflplusplus_cmplog,redqueen_operand","FORMTRIG reaches terminal success where matched baselines do not trigger in this budget,FORMTRIG terminal oracle success is observed,binary or sparse trigger feedback was lifted into accepted non-trigger search progress","FORMTRIG first `_T`/TTE is not recorded for this run,required baseline families are still missing,replication is too low for a final performance claim","collect at least 3 repetitions per matched baseline/budget,run missing required baselines: aflplusplus_cmplog,redqueen_operand",artifacts/formtrig_native_readiness/comparisons/png006_formtrig_2h_vs_vanilla_2h_incomplete_20260616/comparison.json
PNG006_formtrig_2h_vs_vanilla_cmplog_2h_incomplete_20260616,PNG006,control_or_negative,incomplete_required_baseline_set,2,aflplusplus_cmplog,,120.0,,,,7200.0,true,true,redqueen_operand,"FORMTRIG terminal oracle success is observed,binary or sparse trigger feedback was lifted into accepted non-trigger search progress","FORMTRIG first `_T`/TTE is not recorded for this run,matched baselines also trigger, so terminal success alone is not a FORMTRIG advantage,required baseline families are still missing,replication is too low for a final performance claim","collect at least 3 repetitions per matched baseline/budget,run missing required baselines: redqueen_operand,do not claim SOTA advantage on this target without harder targets or stronger statistics",artifacts/formtrig_native_readiness/comparisons/png006_formtrig_2h_vs_vanilla_cmplog_2h_incomplete_20260616/comparison.json
tif012_b5_formtrig_120s_3rep_vs_aflpp_family_120s_3rep_20260616,TIF012,promote_or_extend_longruns,positive_endpoint_matched_comparison,9,,,,0.035,,,120.0,true,true,,"FORMTRIG reaches terminal success where matched baselines do not trigger in this budget,FORMTRIG terminal oracle success is observed,FORMTRIG first `_T` upper bound is recorded at 0.035s,binary or sparse trigger feedback was lifted into accepted non-trigger search progress",,,artifacts/formtrig_native_readiness/comparisons/tif012_b5_formtrig_120s_3rep_vs_aflpp_family_120s_3rep_20260616/comparison.json
tif012_b5_formtrig_120s_vs_aflpp_family_120s_20260616,TIF012,promote_or_complete_reps,positive_endpoint_but_under_replicated,3,,,,0.035,,,120.0,true,false,,"FORMTRIG reaches terminal success where matched baselines do not trigger in this budget,FORMTRIG terminal oracle success is observed,FORMTRIG first `_T` upper bound is recorded at 0.035s","no strict pre-trigger guidance benefit is established,replication is too low for a final performance claim",collect at least 3 repetitions per matched baseline/budget,artifacts/formtrig_native_readiness/comparisons/tif012_b5_formtrig_120s_vs_aflpp_family_120s_20260616/comparison.json
tif012_matched_7200s_3rep_20260618T022236Z,TIF012,needs_harder_experiment_design,positive_speedup_matched_comparison,9,"aflplusplus_cmplog,aflplusplus_vanilla,redqueen_operand",210.0,1410.0,0.034,6176.470588235294,not_hard_pain_baseline_fast_enough,7200.0,true,true,,"FORMTRIG has a lower observed first-`_T` upper bound than every matched successful baseline run,FORMTRIG observed first-`_T` is 6176.47x faster than the fastest matched successful baseline run,FORMTRIG terminal oracle success is observed,FORMTRIG first `_T` upper bound is recorded at 0.034s,fastest matched successful baseline-run first `_T` upper bound is 210s,fastest matched successful baseline-family median first `_T` upper bound is 1410s,binary or sparse trigger feedback was lifted into accepted non-trigger search progress","a matched faithful baseline reaches the trigger within the acceptable-time threshold, so this is not hard SOTA-pain evidence","treat as speedup/control evidence, not hard SOTA-pain evidence,move main budget to targets where no faithful baseline triggers within the acceptable-time threshold,if retained, report only FORMTRIG TTE speedup and mechanism attribution",artifacts/formtrig_native_readiness/comparisons/tif012_b5_matched_7200s_3rep_20260616T223012Z/comparison.json
tif012_b5_matched_7200s_3rep_20260617,TIF012,needs_harder_experiment_design,positive_speedup_matched_comparison,9,"aflplusplus_cmplog,aflplusplus_vanilla,redqueen_operand",210.0,1410.0,0.034,6176.470588235294,not_hard_pain_baseline_fast_enough,7200.0,true,true,,"FORMTRIG has a lower observed first-`_T` upper bound than every matched successful baseline run,FORMTRIG observed first-`_T` is 6176.47x faster than the fastest matched successful baseline run,FORMTRIG terminal oracle success is observed,FORMTRIG first `_T` upper bound is recorded at 0.034s,fastest matched successful baseline-run first `_T` upper bound is 210s,fastest matched successful baseline-family median first `_T` upper bound is 1410s,binary or sparse trigger feedback was lifted into accepted non-trigger search progress","a matched faithful baseline reaches the trigger within the acceptable-time threshold, so this is not hard SOTA-pain evidence","treat as speedup/control evidence, not hard SOTA-pain evidence,move main budget to targets where no faithful baseline triggers within the acceptable-time threshold,if retained, report only FORMTRIG TTE speedup and mechanism attribution",artifacts/formtrig_native_readiness/comparisons/tif012_b5_matched_7200s_3rep_20260617/comparison.json
tif012_formtrig_600s_vs_aflpp_family_600s_20260616,TIF012,control_or_negative,baseline_also_triggers_not_sota_advantage,3,"aflplusplus_vanilla,redqueen_operand",300.0,300.0,,,,600.0,false,true,,binary or sparse trigger feedback was lifted into accepted non-trigger search progress,"no FORMTRIG terminal success is established,FORMTRIG first `_T`/TTE is not recorded for this run,matched baselines also trigger, so terminal success alone is not a FORMTRIG advantage","do not claim SOTA advantage on this target without harder targets or stronger statistics,pair pre-trigger guidance with a same-oracle terminal run before terminal TTE claims",artifacts/formtrig_native_readiness/comparisons/tif012_formtrig_600s_vs_aflpp_family_600s_20260616/comparison.json
