priority,rank,target_id,source,project,lane,action,duration_s,repetitions,runnable_now,benefit_to_prove,primary_endpoint_metrics,mechanism_evidence_required,blocking_issue,claim_boundary,command,post_unblock_commands,evidence_paths
P2,15,SSL005,magma,openssl,binding_spec_first,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id SSL005 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/SSL005.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P2,16,TIF011,magma,libtiff,binding_spec_first,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id TIF011 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/TIF011.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P2,17,TIF014,magma,libtiff,binding_spec_first,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id TIF014 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/TIF014.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P2,18,XML003,magma,libxml2,binding_spec_first,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id XML003 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/XML003.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P2,19,XML004,magma,libxml2,binding_spec_first,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id XML004 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/XML004.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P2,20,XML010,magma,libxml2,binding_spec_first,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id XML010 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/XML010.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P3,21,SSL008,magma,openssl,binding_spec_first,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id SSL008 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/SSL008.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P3,22,SSL012,magma,openssl,binding_spec_first,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id SSL012 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/SSL012.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P3,23,SSL017,magma,openssl,binding_spec_first,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id SSL017 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/SSL017.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P3,24,PDF010,magma,poppler,binding_spec_first,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id PDF010 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/PDF010.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P3,25,SSL002,magma,openssl,binding_spec_first,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id SSL002 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/SSL002.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P3,26,LUA002,magma,lua,binding_spec_first,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id LUA002 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/LUA002.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P3,27,PHP001,magma,php,binding_spec_first,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id PHP001 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/PHP001.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P3,28,TIF009,magma,libtiff,binding_spec_first,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id TIF009 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/TIF009.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P3,29,LUA003,magma,lua,binding_spec_first,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id LUA003 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/LUA003.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
